eGRID2019 Plant file sequence number,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Utility ID,Plant county name,Plant latitude,Plant longitude,Number of units,Plant primary coal/oil/gas/ other fossil fuel category
SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,UTLSRVNM,UTLSRVID,CNTYNAME,LAT,LON,NUMUNT,PLFUELCT
10170,2019,SD,Ft. Pierre,56148,City of Fort Pierre - (SD),6615,Stanley,44.368056,-100.380833,3,OIL
10171,2019,SD,Future CT,7956,NorthWestern Energy - (SD),13809,Hyde,44.5225,-99.441111,2,GAS
10172,2019,SD,Groton Generating Station,56238,Basin Electric Power Coop,1307,Brown,45.3735,-98.098689,2,GAS
10173,2019,SD,Highmore,3343,NorthWestern Energy - (SD),13809,Hyde,44.5217,-99.5269,3,OIL
10174,2019,SD,Huron,3344,NorthWestern Energy - (SD),13809,Beadle,44.369507,-98.17223,2,GAS
10175,2019,SD,Lake Preston,3352,Otter Tail Power Co,14232,Kingsbury,44.364871,-97.381063,2,OIL
10176,2019,SD,Lange,55478,"Black Hills Power, Inc. d/b/a",19545,Pennington,44.1203,-103.26,1,GAS
10177,2019,SD,Mobile Unit,3346,NorthWestern Energy - (SD),13809,Beadle,44.3784,-98.4629,3,OIL
10178,2019,SD,Oahe,3356,USACE-Omaha,19635,Hughes,44.4504,-100.3866,7,HYDRO
10179,2019,SD,Oak Tree Energy,59435,Consolidated Edison Development Inc.,56769,Clark,44.933333,-97.741389,1,WIND
10180,2019,SD,Pathfinder,3334,Northern States Power Co - Minnesota,13781,Minnehaha,43.602778,-96.638333,1,GAS
10181,2019,SD,Pierre Solar,60686,Pierre Solar,60408,Hughes,44.388753,-100.307043,1,SOLAR
10182,2019,SD,POET Biorefining - Chancellor,63853,POET Biorefining- Chancellor,63531,Turner,43.3705,-96.9598,1,BIOMASS
10183,2019,SD,POET Biorefining - Hudson,63918,POET Biorefining - Hudson,63584,Lincoln,43.096898,-96.476983,1,GAS
10184,2019,SD,Prairie Winds SD1,56608,Basin Electric Power Coop,1307,Jerauld,43.886389,-98.7875,3,WIND
10185,2019,SD,Prevailing Wind Park,62247,"Prevailing Wind Park, LLC",61758,Yankton,43.039,-97.526,1,WIND
10186,2019,SD,Redfield,3347,NorthWestern Energy - (SD),13809,Spink,44.876944,-98.524167,3,GAS
10187,2019,SD,Rolling Thunder Wind Farm Hybrid,57045,AE Power Services LLC,55963,Hand,44.477778,-99.133889,2,WIND
10188,2019,SD,South Dakota Wind Energy Cente,56092,FPL Energy South Dakota Wind LLC,34721,Hyde,44.5492,-99.5,1,WIND
10189,2019,SD,Spearfish Hydro,58438,City of Spearfish,58434,Lawrence,44.478333,-103.854722,2,HYDRO
10190,2019,SD,Spirit Mound,6092,Basin Electric Power Coop,1307,Clay,42.897663,-96.990494,2,OIL
10191,2019,SD,State Auto Insurance,56244,"State Auto Insurance, Inc.",49989,Grant,45.220717,-96.616781,1,OIL
10192,2019,SD,Tatanka Ridge,61046,Avangrid Renewables LLC,15399,Deuel,44.592,-96.576,1,WIND
10193,2019,SD,Triple H Wind Project,63103,Engie North America,56201,Hyde,44.40104,-99.603836,1,WIND
10194,2019,SD,Valley Queen Cheese,56274,"Valley Queen Cheese Factory, Inc.",49988,Grant,45.221111,-96.637222,3,OIL
10195,2019,SD,Watertown Power Plant,7247,Missouri Basin Muni Power Agny,12710,Codington,44.901667,-97.108333,1,OIL
10196,2019,SD,Webster IC,3348,NorthWestern Energy - (SD),13809,Day,45.33,-97.331111,2,OIL
10197,2019,SD,Wessington Springs,56650,Wessington Wind,59102,Jerauld,44.0025,-98.590833,1,WIND
10198,2019,SD,Willow Creek Wind Power LLC,62431,"Willow Creek Wind Power, LLC",63472,Butte,44.825883,-103.207412,1,WIND
10199,2019,SD,Yankton,8034,NorthWestern Energy - (SD),13809,Yankton,42.893333,-97.353333,4,GAS
10200,2019,TN,Allen,3393,Tennessee Valley Authority,18642,Shelby,35.074087,-90.14868,6,GAS
10201,2019,TN,Apalachia,3394,Tennessee Valley Authority,18642,Polk,35.167712,-84.295601,2,HYDRO
10202,2019,TN,Bi-County Gas Producers,58559,"Cube District Energy, LLC",61038,Montgomery,36.540556,-87.544444,2,BIOMASS
10203,2019,TN,Boone Dam,3395,Tennessee Valley Authority,18642,Sullivan,36.4403,-82.4381,3,HYDRO
10204,2019,TN,Brownsville Combustion Turbine Plant,55081,Tennessee Valley Authority,18642,Haywood,35.5438,-89.198,4,GAS
10205,2019,TN,Buffalo Mountain,7927,Tennessee Valley Authority,18642,Anderson,36.120994,-84.338733,3,WIND
10206,2019,TN,Buffalo Mountain Energy Center,56493,Invenergy Services LLC,49893,Anderson,36.127092,-84.344168,1,WIND
10207,2019,TN,Bull Run,3396,Tennessee Valley Authority,18642,Anderson,36.0211,-84.1567,1,COAL
10208,2019,TN,Calderwood,54900,Brookfield Smoky Mountain Hydropower LP,306,Blount,35.4923,-83.9806,3,HYDRO
10209,2019,TN,Center Hill,6417,USCE-Nashville District,19462,DeKalb,36.0972,-85.8274,3,HYDRO
10210,2019,TN,Chattanooga Metropolitan Airport Solar,58515,Chattanooga Metropolitan Airport,58492,Hamilton,35.024583,-85.208617,3,SOLAR
10211,2019,TN,Cheatham,6418,USCE-Nashville District,19462,Dickson,36.3208,-87.2219,3,HYDRO
10212,2019,TN,Cherokee Dam,3397,Tennessee Valley Authority,18642,Jefferson,36.168176,-83.49768,4,HYDRO
10213,2019,TN,Chestnut Ridge Gas Recovery,50570,WM Renewable Energy LLC,54842,Anderson,36.1172,-84.0317,5,BIOMASS
10214,2019,TN,Chickamauga,3398,Tennessee Valley Authority,18642,Hamilton,35.101791,-85.229467,4,HYDRO
10215,2019,TN,Chilhowee,54901,Brookfield Smoky Mountain Hydropower LP,306,Blount,35.5453,-84.0503,3,HYDRO
10216,2019,TN,Cordell Hull,3423,USCE-Nashville District,19462,Smith,36.289539,-85.94416,3,HYDRO
10217,2019,TN,Cumberland,3399,Tennessee Valley Authority,18642,Stewart,36.3903,-87.6539,4,COAL
10218,2019,TN,Dale Hollow,3424,USCE-Nashville District,19462,Clay,36.5378,-85.4517,3,HYDRO
10219,2019,TN,Domtar Kingsport Mill,10252,Domtar Paper Co LLC Kingsport Mill,55849,Sullivan,36.5489,-82.5667,3,BIOMASS
10220,2019,TN,Douglas Dam,3400,Tennessee Valley Authority,18642,Sevier,35.9623,-83.5393,4,HYDRO
10221,2019,TN,Eastman Chemical Company,50481,Eastman Chemical Co-TN Ops,5610,Sullivan,36.5219,-82.5431,9,COAL
10222,2019,TN,Elora Solar,63719,Elora Solar,63418,Lincoln,35.06,-86.34,1,SOLAR
10223,2019,TN,Fort Loudoun,3402,Tennessee Valley Authority,18642,Loudon,35.7917,-84.2431,4,HYDRO
10224,2019,TN,Fort Patrick Henry,3401,Tennessee Valley Authority,18642,Sullivan,36.4982,-82.5086,2,HYDRO
10225,2019,TN,Franklin (TN),7950,Tennessee Valley Authority,18642,Franklin,35.270556,-86.139444,3,GAS
10226,2019,TN,Gallatin,3403,Tennessee Valley Authority,18642,Sumner,36.3156,-86.4006,12,COAL
10227,2019,TN,Gleason Combustion Turbine Plant,55251,Tennessee Valley Authority,18642,Weakley,36.2454,-88.612,3,GAS
10228,2019,TN,Great Falls (TN),3404,Tennessee Valley Authority,18642,Warren,35.806732,-85.634063,2,HYDRO
10229,2019,TN,Haywood Solar,61733,Haywood Solar,61357,Haywood,35.5775,-89.286944,1,SOLAR
10230,2019,TN,IKEA Memphis 508,61211,IKEA Property Inc,57389,Shelby,35.189991,-89.799302,1,SOLAR
10231,2019,TN,J P Priest,3428,USCE-Nashville District,19462,Davidson,36.1564,-86.6186,1,HYDRO
10232,2019,TN,John Sevier,3405,Tennessee Valley Authority,18642,Hawkins,36.3767,-82.9639,3,GAS
10233,2019,TN,Johnsonville,3406,Tennessee Valley Authority,18642,Humphreys,36.0278,-87.9861,22,GAS
10234,2019,TN,Kingston,3407,Tennessee Valley Authority,18642,Roane,35.8992,-84.5194,9,COAL
10235,2019,TN,Lagoon Creek,7845,Tennessee Valley Authority,18642,Haywood,35.6578,-89.3964,14,GAS
10236,2019,TN,Latitude Solar Center,61412,"Latitude Solar Center, LLC",61976,Hardeman,35.306387,-89.167539,1,SOLAR
10237,2019,TN,McMinnville,55928,McMinnville Electric System,12186,Warren,35.705,-85.7439,12,OIL
10238,2019,TN,Melton Hill,3408,Tennessee Valley Authority,18642,Loudon,35.8853,-84.3003,2,HYDRO
10239,2019,TN,Middle Point Landfill Gas Recovery,56866,EDL Inc,55858,Rutherford,35.9342,-86.3756,2,BIOMASS
